Word,both_hit,both_fa,both_h_fa,d_both,c_both,img,Bird2001,Bristol2006,Chiarello1999,Glasgow2018,Cortese,MRC,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Max_strength.perceptual,Max_strength.action,Max_strength.sensorimotor,Minkowski3.perceptual,Minkowski3.action,Minkowski3.sensorimotor,c.Bird,c.Bristol,c.Chiarello,c.Cortese,c.Glasgow,c.MRC,Frequency,Length.y,Body,Food,Object,Communication
ACE,0.71,0.07,0.64,2.03,0.47,4.5,NA,NA,NA,3.697,4.5,NA,0.438,0,0,0.375,0,2.062,0.4,1.6,1.35,0.6,0.5,2.062,1.6,2.062,2.073,1.909,2.513,NA,NA,NA,-0.00076407,-1.161816641,NA,0.21577965,-1.35385656,-1.104561363,-0.937167257,-0.752791901,-1.393772743
ACHE,0.81,0.09,0.73,2.26,0.24,3.8,NA,3.11,NA,3.063,3.8,4.43,1,0.062,1.188,4.375,0.062,1.062,2.737,3.053,3.211,2.579,2.684,4.375,3.211,4.375,4.441,4.912,5.907,NA,-0.898806214,NA,-0.70076407,-1.795816641,-0.367303941,-0.241662519,-1.174700109,3.307704317,0.184046221,-2.557399352,1.049850436
ACT,0.68,0.18,0.51,1.41,0.23,3.5,NA,NA,4.78571,NA,3.5,4.33,2.571,0.238,0.571,0.81,0.238,3.19,2.55,2.85,3.15,2.8,2.4,3.19,3.15,3.19,3.69,4.744,5.395,NA,NA,-0.130724131,-1.00076407,NA,-0.467303941,1.158832191,-1.251046972,1.481546531,-0.462019007,0.037505356,1.648321286
ADD,0.55,0.1,0.45,1.4,0.57,3.3,5.15,NA,5.42857,3.943,3.3,NA,0.739,0.043,0.435,1.478,0.043,2.478,0.4,2.2,2.95,1.25,0.25,2.478,2.95,2.95,2.665,3.372,3.855,0.767889437,NA,0.512135869,-1.20076407,-0.915816641,NA,1.345279037,-1.022531462,-0.478319156,-0.525374052,-0.870719357,-0.222782008
AGE,0.66,0.08,0.58,1.79,0.48,3.4,5.29,NA,NA,3.286,3.4,4.68,2.25,1.25,1.812,2.25,1.062,3.812,2.429,2.381,3.429,2.238,2.238,3.812,3.429,3.812,4.436,4.49,5.624,0.907889437,NA,NA,-1.10076407,-1.572816641,-0.117303941,1.276881177,-1.165085876,1.654643916,0.751301772,0.114105739,1.293254346
AID,0.68,0.15,0.53,1.51,0.27,3.5,4.75,NA,NA,4.097,3.5,4.13,2.118,0,0.588,0.353,0.059,3.235,1.737,2.579,2.421,1.895,1.526,3.235,2.579,3.235,3.52,3.607,4.491,0.367889437,NA,NA,-1.00076407,-0.761816641,-0.667303941,0.486350021,-1.445817995,0.51756865,-0.769706449,0.259862426,0.712321603
AIDE,0.67,0.12,0.55,1.63,0.37,2.5,NA,2.5,NA,NA,2.5,NA,1.526,0.105,1.053,0.632,0,2.158,1.632,1.947,2.263,1.737,1.526,2.158,2.263,2.263,2.467,3.179,3.612,NA,-1.508806214,NA,-2.00076407,NA,NA,-0.857326255,-1.404044536,0.514937768,-0.619862423,-0.469755409,0.108275599
AIM,0.73,0.17,0.56,1.56,0.16,3.9,5.04,NA,4.35714,2.941,3.9,3.83,0.368,0,0.895,0.368,0,3.947,1,3.85,3.3,0.65,1.35,3.947,3.85,3.947,3.965,4.591,5.418,0.657889437,NA,-0.559294131,-0.60076407,-1.917816641,-0.967303941,0.692251976,-1.138249328,0.799865832,-0.820478925,1.198868565,0.236355463
AIR,0.72,0.18,0.53,1.48,0.16,4,4.69,NA,NA,2.969,4,4.5,1.684,0.368,2.789,1.368,1.842,0.684,1.95,2.45,3.95,3.85,2.3,2.789,3.95,3.95,3.292,5.348,5.735,0.307889437,NA,NA,-0.50076407,-1.889816641,-0.297303941,1.359335444,-1.264900341,1.488612064,1.339946375,-0.817301565,1.420925506
AISLE,0.69,0.1,0.59,1.76,0.37,5.3,NA,5.3,NA,5.438,5.3,5.28,0.5,0.111,1.5,0.222,0.111,3.889,2.455,1.091,1.955,0.682,1,3.889,2.455,3.889,3.965,2.919,4.434,NA,1.291193786,NA,0.79923593,0.579183359,0.482696059,0.224544175,-0.801550247,0.420292013,-0.773027543,0.64277006,-0.714834282
ALE,0.93,0.28,0.65,2.08,-0.46,4,NA,NA,NA,NA,4,5.26,0.438,3.75,1.188,1.438,2.375,2.938,0.118,1.588,2.176,3.588,1.353,3.75,3.588,3.75,4.582,3.979,5.42,NA,NA,NA,-0.50076407,NA,0.462696059,-0.529689301,-1.482376872,-0.319979252,3.851937546,-0.572631463,-0.032829348
ALL,0.55,0.08,0.47,1.51,0.63,2.3,NA,NA,NA,2.969,2.3,3.32,2.125,0.812,2.062,1.312,0.812,3.25,1.571,2.048,2.667,2,1.524,3.25,2.667,3.25,3.827,3.502,4.626,NA,NA,NA,-2.20076407,-1.889816641,-1.477303941,2.524298124,-1.202789274,0.474508295,0.261619746,-0.679436453,0.043474651
AND,0.71,0.14,0.57,1.64,0.26,1.3,NA,NA,NA,NA,1.3,2.26,1.842,0.158,0.421,0.474,0.211,1.316,0.316,0.632,0.947,1.368,0.368,1.842,1.368,1.842,2.059,1.553,2.319,NA,NA,NA,-3.20076407,NA,-2.537303941,2.910490078,-1.161058811,-1.810173519,-0.663933068,-1.975404906,-1.510818858
ANT,0.88,0.13,0.75,2.28,-0.03,6.7,NA,NA,NA,6.743,6.7,6.13,0.467,0.133,2.133,0.133,0.467,4.267,0.842,1.368,2.263,0.263,0.421,4.267,2.263,4.267,4.441,2.458,4.679,NA,NA,NA,2.19923593,1.884183359,1.332696059,0.334112624,-1.192446649,-0.43398348,-0.359281169,1.462957477,-0.647306372
APE,0.88,0.12,0.76,2.35,0.01,6.8,NA,NA,NA,6.647,6.8,6.16,3,0.222,1.667,0.222,1.611,4.222,0.737,1.211,2.105,0.684,0.684,4.222,2.105,4.222,4.807,2.299,4.977,NA,NA,NA,2.29923593,1.788183359,1.362696059,0.315989903,-1.357459588,-0.667868757,0.178119898,1.505344064,0.589772972
APT,0.91,0.19,0.73,2.25,-0.24,1.9,NA,NA,NA,NA,1.9,2.95,1.231,0.077,0.308,1.308,0.077,1.769,0.667,1.056,2.222,0.722,0.278,1.769,2.222,2.222,2.13,2.342,2.824,NA,NA,NA,-2.60076407,NA,-1.847303941,-0.629391813,-1.225844264,-0.698361647,-0.710621317,-1.697533589,-0.652677659
ARC,0.81,0.1,0.71,2.14,0.2,5,NA,NA,NA,NA,5,4.94,0.875,0.188,0.938,0.25,0.25,3.688,0.588,0.882,0.824,0.118,0.412,3.688,0.882,3.688,3.725,1.15,3.761,NA,NA,NA,0.49923593,NA,0.142696059,-0.322493097,-1.060446235,-0.97508741,-0.595658599,0.461652257,-1.309390017
ARCH,0.73,0.16,0.57,1.62,0.2,5.1,5.3,6.04,6.39286,5.677,5.1,5.57,0.529,0.294,2.235,0.529,0.294,3.765,0.9,0.9,1.75,0.3,0.95,3.765,1.75,3.765,4.018,1.975,4.171,0.917889437,2.031193786,1.476425869,0.59923593,0.818183359,0.772696059,-0.089026987,-0.706006854,-0.190967927,-0.333332232,0.659142043,-1.087605027
ARE,0.54,0.1,0.44,1.38,0.59,1.3,NA,NA,NA,NA,1.3,2.62,1.562,0.375,0.375,0.688,0.312,0.938,1.286,1.286,2.048,1.667,1.048,1.562,2.048,2.048,1.721,2.65,2.873,NA,NA,NA,-3.20076407,NA,-2.177303941,2.44520707,-1.299845585,-0.649071977,-0.540961865,-2.232144402,-0.872927874
ARK,0.76,0.21,0.56,1.53,0.05,5.7,NA,NA,NA,NA,5.7,5.17,0.526,0,0.737,0,0,3.789,0.333,0.762,1.143,0.571,0.286,3.789,1.143,3.789,3.802,1.297,3.852,NA,NA,NA,1.19923593,NA,0.372696059,-0.151950502,-1.127278984,-1.195692564,-0.695019708,0.689273093,-1.038180749
ARM,0.66,0.09,0.57,1.77,0.47,6.8,NA,NA,NA,6.571,6.8,5.93,0.182,0.091,3.939,2.545,0.121,3.818,0.053,4.842,1.158,0,0.737,3.939,4.842,4.842,5.108,4.87,6.289,NA,NA,NA,2.29923593,1.712183359,1.132696059,1.419055354,-0.870347051,1.208033727,0.100806971,1.350502831,-1.390876948
ART,0.82,0.12,0.69,2.06,0.13,4.6,NA,NA,5.71429,5.794,4.6,4.93,1.857,0.514,2.114,0.857,0.6,4.629,0.263,2.474,3.526,0.684,0.368,4.629,3.526,4.629,4.877,3.901,5.597,NA,NA,0.797855869,0.09923593,0.935183359,0.132696059,1.294846466,-1.144292808,-0.398300583,-0.103840533,1.806413449,0.874119193
ARTS,0.63,0.07,0.56,1.82,0.58,4,NA,NA,NA,4.171,4,NA,1.812,0.25,1.688,0.812,0.375,3.562,0.294,1.059,2.647,0.706,0.294,3.562,2.647,3.562,3.839,2.721,4.249,NA,NA,NA,-0.50076407,-0.687816641,NA,0.828778129,-0.789428757,-0.927947086,-0.326379462,0.856377312,0.16697911
ASH,0.8,0.14,0.66,1.91,0.13,5.7,NA,NA,6.32143,NA,5.7,5.53,0.19,0.238,2.381,0.238,1.524,4.19,1.059,2.118,2.588,1,0.588,4.19,2.588,4.19,4.492,3.08,4.931,NA,NA,1.404995869,1.19923593,NA,0.732696059,0.278700597,-1.213554788,-0.025577733,0.431052785,1.357357074,-0.565806023
ASK,0.51,0.13,0.37,1.12,0.55,2.7,4.45,NA,3.39286,NA,2.7,NA,3.733,0,0,0.667,0,1.6,0.238,0.524,1.19,4.19,0.286,3.733,4.19,4.19,3.836,4.226,5.09,0.067889437,NA,-1.523574131,-1.80076407,NA,NA,1.75044266,-1.381047045,-1.529605013,0.085025002,-1.194728676,1.37371278
ASS,0.88,0.05,0.83,2.81,0.23,6,5.97,NA,NA,6.177,6,NA,1.278,0.222,3.056,0.5,1.278,3.833,0.789,1.421,2.421,0.842,1.737,3.833,2.421,3.833,4.468,2.86,4.828,1.587889437,NA,NA,1.49923593,1.318183359,NA,1.193443439,-1.11734531,0.194800188,0.163031259,0.812393795,-0.403484277
ATE,0.71,0.14,0.57,1.64,0.28,3.9,NA,NA,NA,NA,3.9,3.64,1.438,3.188,1.438,1.312,0.875,2.625,0,1,1.1,4.6,1.6,3.188,4.6,4.6,3.901,4.699,5.464,NA,NA,NA,-0.60076407,NA,-1.157303941,0.846096567,-1.540088111,-0.354568724,3.05467266,-1.314329307,-0.007013362
AUNT,0.81,0.11,0.71,2.14,0.18,6.2,NA,NA,6.5,5.765,6.2,5.67,2.278,0,1.167,0.667,0.5,3.167,0.4,0.85,2.15,0.85,0.9,3.167,2.15,3.167,3.572,2.287,3.861,NA,NA,1.583565869,1.69923593,0.906183359,0.872696059,1.178116365,-1.010574199,-0.905880231,-0.559870238,0.387420261,0.093787732
AXE,0.83,0.29,0.54,1.5,-0.19,6.3,NA,NA,NA,6.364,6.3,5.97,1,0,3.6,0.05,0.4,4.05,0.842,3.474,1.684,0.421,1.632,4.05,3.474,4.05,4.851,3.726,5.494,NA,NA,NA,1.79923593,1.505183359,1.172696059,0.03454914,-1.201777297,1.057767657,-0.277635993,1.757883298,-0.803736365
AYE,0.88,0.14,0.74,2.26,-0.04,1.7,NA,NA,NA,NA,1.7,2.55,3.545,0,0,0.273,0,1.455,0.118,0.353,0.706,1.529,0.118,3.545,1.529,3.545,3.626,1.584,3.724,NA,NA,NA,-2.80076407,NA,-2.247303941,0.081259524,-1.73501351,-1.782000856,-0.706840132,-1.378124374,0.053893083
BABE,0.8,0.03,0.76,2.64,0.5,5.7,NA,NA,NA,NA,5.7,5.62,2.056,0,0.833,0.389,0.333,2.778,0.545,1.409,2.409,1.182,0.773,2.778,2.409,2.778,3.134,2.671,3.68,NA,NA,NA,1.19923593,NA,0.822696059,0.535042749,-1.183343989,-0.857156186,-0.734771003,0.125407943,0.173758694
BACK,0.57,0.19,0.38,1.06,0.36,5,4.36,NA,NA,NA,5,4.83,0.406,0.062,1.969,1.344,0.156,2.781,1.031,1.188,1.531,0.625,2.969,2.781,2.969,2.969,3.163,3.2,4.009,-0.022110563,NA,NA,0.49923593,NA,0.032696059,2.349850084,-0.949343895,0.967525824,-0.6058662,-1.498324163,-1.671063026
BAD,0.53,0.17,0.36,1.04,0.43,2.4,NA,NA,NA,3.6,2.4,3.88,2.65,1.3,1.1,2.5,1.45,2.7,1.421,1.947,3.263,2.105,1.579,2.7,3.263,3.263,3.926,3.877,4.915,NA,NA,NA,-2.10076407,-1.258816641,-0.917303941,2.044105377,-1.291434758,0.592474083,0.978521059,-1.201294771,0.894847537
BADGE,0.78,0.14,0.64,1.86,0.17,5.9,NA,4.81,6.42857,6.441,5.9,5.19,0.111,0,2.222,0.056,0,4.222,0.429,2.238,2.19,0.571,1.381,4.222,2.238,4.222,4.418,2.909,4.804,NA,0.801193786,1.512135869,1.39923593,1.582183359,0.392696059,0.626502302,-0.480305629,0.18072908,-0.589844709,1.32366372,-0.869119516
BAG,0.64,0.12,0.52,1.52,0.39,6.4,NA,NA,NA,6.484,6.4,5.7,1.647,0.147,3.735,0.324,0.441,4.441,0.632,3.368,1.579,0.316,0.579,4.441,3.368,4.441,5.245,3.493,5.718,NA,NA,NA,1.89923593,1.625183359,0.902696059,1.517936327,-1.251489864,0.219857357,-0.20784168,2.101977644,-0.625944781
BAIL,0.77,0.21,0.56,1.53,0.04,3.9,NA,2.51,NA,3.229,3.9,4.8,1.111,0.111,0.944,0.333,0,1.889,1,1.6,1.5,0.55,0.45,1.889,1.6,1.889,2.079,2.059,2.607,NA,-1.498806214,NA,-0.60076407,-1.629816641,0.002696059,0.374795224,-1.163262363,-0.625614015,-0.915840935,-1.340994492,-1.524692009
BAIT,0.7,0.27,0.43,1.15,0.04,5.6,NA,3.95,NA,4.733,5.6,NA,0.368,0.053,2.053,0.263,2.316,3.316,0.19,2.476,1.476,0.714,0.143,3.316,2.476,3.316,3.862,2.658,4.243,NA,-0.058806214,NA,1.09923593,-0.125816641,NA,0.228290818,-0.923566495,-0.778496907,0.769649828,0.921074646,-1.474420345
BALD,0.85,0.07,0.78,2.52,0.23,6.2,NA,5.47,NA,6.281,6.2,NA,0.412,0.118,2.529,0.588,0.294,4.176,0.3,1.15,3.9,0.2,0.4,4.176,3.9,4.176,4.47,3.935,5.317,NA,1.461193786,NA,1.69923593,1.422183359,NA,0.54050353,-0.872356291,-0.262360684,-0.384188538,0.92496285,0.057845258
BALE,0.63,0.12,0.51,1.5,0.43,3.4,NA,NA,NA,NA,3.4,4.73,0.75,0.438,2.312,0.375,0.938,3.625,1.143,2.81,2.619,0.381,1.286,3.625,2.81,3.625,3.945,3.525,4.721,NA,NA,NA,-1.10076407,NA,-0.067303941,-0.794292506,-1.3497071,0.672833211,0.003926014,1.014044759,-0.45172696
BALL,0.73,0.22,0.51,1.4,0.09,6.6,NA,NA,NA,6.643,6.6,6.22,0.765,0.059,3.118,0.118,0,3.824,2.19,3.905,1.905,0.524,0.667,3.824,3.905,3.905,4.425,4.262,5.474,NA,NA,NA,2.09923593,1.784183359,1.422696059,1.501413054,-1.133491396,1.02733778,-0.713774484,1.588084615,-0.860989729
BALM,0.78,0.21,0.57,1.59,0.03,4.3,NA,NA,NA,NA,4.3,NA,0.353,0.647,2.647,0.824,2.118,1.882,0.684,2.263,1.263,2.158,0.684,2.647,2.263,2.647,3.289,2.896,3.912,NA,NA,NA,-0.20076407,NA,NA,-0.876478693,-1.069906113,-0.024940265,1.61410519,-0.326448785,-1.342384801
BAN,0.71,0.13,0.57,1.65,0.29,2.9,3.11,NA,3.71429,3.129,2.9,NA,2.121,0.061,0.273,0.727,0.061,2.485,0.6,1.35,2.45,2.3,0.85,2.485,2.45,2.485,2.935,3.113,3.813,-1.272110563,NA,-1.202144131,-1.60076407,-1.729816641,NA,-0.109338889,-1.487597407,-0.633985339,-0.418909271,-0.360765578,0.862808933
BAND,0.59,0.24,0.35,0.93,0.23,6,NA,NA,NA,6.032,6,5.79,4.368,0,0.684,0.526,0.053,4.158,0.952,1.714,3.762,1.333,0.667,4.368,3.762,4.368,5.38,3.954,6.014,NA,NA,NA,1.49923593,1.173183359,0.992696059,1.084709909,-1.369689876,-0.433659936,-0.970167581,1.644435155,2.839576426
BANG,0.76,0.29,0.47,1.25,-0.07,3.7,5.25,NA,NA,4.758,3.7,4.7,4.125,0,0.562,0.562,0.375,1.438,1.579,2.368,2.789,0.789,1.105,4.125,2.789,4.125,4.19,3.442,4.854,0.867889437,NA,NA,-0.80076407,-0.100816641,-0.097303941,0.589803895,-1.370273284,0.106432173,-0.928365532,0.026410371,1.504708505
BANK,0.71,0.12,0.59,1.74,0.32,6.1,NA,NA,NA,6.086,6.1,5.6,1.167,0.056,1.278,0.278,0.278,4.167,0.947,2.105,2.053,1.684,0.368,4.167,2.105,4.167,4.237,2.871,4.637,NA,NA,NA,1.59923593,1.227183359,0.802696059,1.354131932,-1.130214115,-0.541465148,-0.413103525,0.975261306,-0.074084737
BAR,0.8,0.19,0.61,1.71,0.03,6.1,NA,NA,NA,6.529,6.1,5.96,2.474,1.053,2.053,0.632,1.579,3.526,1.391,2.478,2.348,2.043,1.348,3.526,2.478,3.526,4.179,3.472,4.861,NA,NA,NA,1.59923593,1.670183359,1.162696059,1.170269852,-1.338802367,0.255773826,0.889723495,0.568838692,0.401034892
BARE,0.67,0.25,0.42,1.1,0.11,3.9,4.525,NA,NA,4.29,3.9,4.87,1.118,0.176,2.353,1.647,0.235,3.882,2.684,3,2.579,0.737,2.211,3.882,3,3.882,4.262,4.211,5.338,0.142889437,NA,NA,-0.60076407,-0.568816641,0.072696059,0.397413815,-1.120111906,2.372168606,-0.51790448,-0.099334912,-0.25003466
BARGE,0.78,0.33,0.45,1.22,-0.16,5.7,NA,NA,NA,5.273,5.7,NA,1.889,0.278,2.167,0.611,0.444,3.556,2,1.789,1.579,0.737,0.789,3.556,2,3.556,3.962,2.648,4.322,NA,NA,NA,1.19923593,0.414183359,NA,-0.357521848,-0.726204161,0.340822738,-0.465072254,0.625920184,-0.517942023
BARK,0.74,0.24,0.5,1.35,0.04,5,NA,5.4,NA,5.086,5,5.39,4.056,0,0.611,0.333,0.056,2.667,0.095,0.619,3.286,2.762,0.095,4.056,3.286,4.056,4.413,3.844,5.226,NA,1.391193786,NA,0.49923593,0.227183359,0.592696059,0.251481764,-1.414437902,-1.454672119,-0.332956435,0.846884881,2.710393273
BARN,0.73,0.19,0.54,1.49,0.13,6.9,NA,NA,6.92857,6.618,6.9,5.89,1.588,0.235,1.706,0.235,2.118,3.647,1.85,1.65,2.55,0.3,1.1,3.647,2.55,3.647,4.062,3.064,4.575,NA,NA,2.012135869,2.39923593,1.759183359,1.092696059,0.733048821,-0.933876268,0.143378689,0.214202633,0.974532597,-0.341207436
BASE,0.68,0.17,0.51,1.41,0.25,4.4,NA,NA,NA,NA,4.4,4.36,1.05,0.05,1.15,0.6,0.15,3.5,1.65,0.95,1.15,0.75,0.7,3.5,1.65,3.5,3.577,1.969,3.766,NA,NA,NA,-0.10076407,NA,-0.437303941,1.001914419,-1.100263029,-0.380979781,-0.778217252,0.121824304,-1.02362225
BASH,0.73,0.23,0.5,1.36,0.07,3.2,NA,NA,NA,NA,3.2,NA,2.533,0.267,1.467,0.933,0.2,3.4,0.737,3.368,2.263,1.526,0.474,3.4,3.368,3.4,3.905,3.777,4.841,NA,NA,NA,-1.30076407,NA,NA,-0.174847084,-1.37570007,0.072381618,-0.294050754,0.873779252,0.734858221
BASS,0.78,0.14,0.64,1.86,0.16,5.7,NA,4.29,NA,4.765,5.7,5.44,4.053,0.684,1.842,1.263,0.526,1.947,0.85,1.25,2.8,1.5,1,4.053,2.8,4.053,4.356,3.069,4.814,NA,0.281193786,NA,1.19923593,-0.093816641,0.642696059,-0.014149204,-1.43422518,-0.226720121,0.047476453,-0.027031916,1.579454482
BASTE,0.58,0.1,0.48,1.48,0.53,3.5,4.67,NA,4.28571,NA,3.5,NA,0.6,0.6,1.4,0.067,1.333,2.6,0,3.2,1.2,0.4,0.15,2.6,3.2,3.2,2.849,3.257,3.864,0.287889437,NA,-0.630724131,-1.00076407,NA,NA,-1.102668341,-1.096409101,-0.455729208,0.599061638,-0.214735939,-1.753850776
BAT,0.74,0.24,0.51,1.37,0.03,6.2,5.72,NA,NA,6.533,6.2,5.86,1.947,0.053,2.579,0.158,0.105,4.053,0.522,2.609,1.696,0.217,0.435,4.053,2.609,4.053,4.5,2.838,4.848,1.337889437,NA,NA,1.69923593,1.674183359,1.062696059,0.713358984,-1.36989992,-0.330075502,-0.693223804,1.664458748,-0.381356217
BATCH,0.7,0.22,0.49,1.31,0.12,3.8,NA,NA,4,NA,3.8,NA,1,0.55,1.65,0.45,0.35,3.35,0.75,1.85,2.25,1.15,0.85,3.35,2.25,3.35,3.514,2.727,3.993,NA,NA,-0.916434131,-0.70076407,NA,NA,0.103749357,-0.867378415,-0.249301078,-0.101876623,0.53423957,-0.440045022
BATH,0.71,0.28,0.43,1.13,0.01,6,5.92,6.64,6.48148,6.654,6,6.01,1.632,0,4.158,2,1.158,4.158,3.55,3.7,2.9,1.15,3.8,4.158,3.8,4.158,5.402,5.606,6.937,1.537889437,2.631193786,1.565045869,1.49923593,1.795183359,1.212696059,0.802852407,-1.118073751,4.022624895,0.116655893,0.955217025,0.532592512
BATHE,0.79,0.17,0.62,1.76,0.09,4.5,5.91,NA,5.57143,NA,4.5,NA,2.375,0.438,3.375,1.938,1.312,3.875,3.65,4.05,3.4,1.55,4.15,3.875,4.15,4.15,4.928,6.123,7.042,1.527889437,NA,0.654995869,-0.00076407,NA,NA,-0.560037433,-0.998174266,4.51567041,0.46538437,0.151884604,1.118053515
BAY,0.7,0.15,0.55,1.57,0.25,5.2,NA,NA,NA,NA,5.2,5.7,2.118,0.353,1.176,0.118,1.647,4.647,0.81,0.619,1.905,0.286,0.429,4.647,1.905,4.647,4.877,1.982,4.984,NA,NA,NA,0.69923593,NA,0.902696059,0.566054224,-1.309771717,-1.045399771,0.104788454,1.378842463,0.021949755
BEACH,0.87,0.17,0.69,2.05,-0.09,6.5,NA,6.6,NA,6.5,6.5,6.67,2.444,0.222,2.222,0.167,2.389,4.444,3.421,2.632,3.105,0.947,2.105,4.444,3.421,4.444,5.027,4.616,6.086,NA,2.591193786,NA,1.99923593,1.641183359,1.872696059,1.027322785,-0.841755034,1.784116584,0.298689507,1.534619153,0.734879229
BEAD,0.72,0.12,0.6,1.77,0.29,6,NA,NA,NA,5.909,6,NA,0.611,0.444,2.889,0.278,0.333,3.778,0.524,2.429,1.762,0.714,0.762,3.778,2.429,3.778,4.28,2.748,4.628,NA,NA,NA,1.49923593,1.050183359,NA,-0.33507009,-1.225586082,0.083540855,0.050111084,1.300902127,-0.893906061
BEAK,0.73,0.17,0.56,1.58,0.18,5.2,NA,5.79,NA,6.394,5.2,5.74,0.312,0,1.625,0,0,3.375,0.105,0.632,2,0.842,0.211,3.375,2,3.375,3.497,2.069,3.724,NA,1.781193786,NA,0.69923593,1.535183359,0.942696059,-0.053025838,-1.150137835,-1.216770129,-0.515977401,0.718231407,-0.798035417
BEAM,0.64,0.31,0.33,0.87,0.06,4.6,NA,NA,NA,NA,4.6,5.39,0.176,0,1.588,0.176,0,3.588,0.7,1,1.7,1.35,0.2,3.588,1.7,3.588,3.689,2.059,3.892,NA,NA,NA,0.09923593,NA,0.592696059,0.268608885,-1.003860097,-0.870236804,-0.485397557,0.523512674,-0.900625483
BEAN,0.78,0.11,0.67,2.01,0.24,6.6,NA,NA,NA,6.629,6.6,5.38,0.222,3.778,1.889,0.167,1.278,3.111,0.118,2.529,2.294,3.706,0.412,3.778,3.706,3.778,4.529,4.295,5.562,NA,NA,NA,2.09923593,1.770183359,0.582696059,0.469503763,-1.204613135,-0.722360743,3.316174092,0.63029888,-0.206106171
BEAR,0.74,0.15,0.59,1.67,0.18,6.7,6.01,NA,NA,6.571,6.7,5.72,3.263,0.368,1.526,0.368,0.632,4.316,1.143,1.143,2.286,1.048,0.952,4.316,2.286,4.316,4.919,2.568,5.142,1.627889437,NA,NA,2.19923593,1.712183359,0.922696059,1.182251368,-1.326389346,-0.268558889,-0.313152571,0.657694461,0.683641013
BEARD,0.71,0.19,0.52,1.42,0.16,6.3,NA,6.31,NA,6.656,6.3,6.3,0.1,0,3.35,0.05,0.05,4.35,0.05,0.8,2.4,2.45,0.05,4.35,2.45,4.35,4.931,3.074,5.301,NA,2.301193786,NA,1.79923593,1.797183359,1.502696059,0.751300699,-0.856372487,-0.893267276,0.21507776,1.68183218,-0.106948643
BEAST,0.81,0.22,0.59,1.65,-0.06,5.6,NA,NA,6.46429,5.563,5.6,5.58,2.105,0.263,1.158,1.053,1.105,3,1.211,1.579,2.684,1.053,1.316,3,2.684,3,3.432,3.054,4.1,NA,NA,1.547855869,1.09923593,0.704183359,0.782696059,0.538871839,-0.982990302,0.022327518,-0.135573716,0.108402074,0.304002649
BEAT,0.53,0.19,0.34,0.97,0.41,3.4,4.9,NA,NA,4.4,3.4,4.06,3.8,0.15,0.9,1.55,0.1,2,2.429,4.048,2.238,1.095,1.619,3.8,4.048,4.048,4.068,4.601,5.482,0.517889437,NA,NA,-1.10076407,-0.458816641,-0.737303941,1.132527051,-1.386247258,1.640710457,-0.860945051,-0.795050031,0.928076232
BEAU,0.83,0.02,0.81,3.08,0.59,3.1,NA,NA,NA,NA,3.1,3.94,2.1,1,2.4,1.4,1.1,3.4,1,2.556,3.167,2.667,1.5,3.4,3.167,3.4,4.071,4.156,5.183,NA,NA,NA,-1.40076407,NA,-0.857303941,-1.363891382,-1.469370427,0.77829803,0.925969147,0.328644228,1.200170762
BED,0.65,0.12,0.54,1.58,0.39,6.6,NA,NA,NA,6.656,6.6,6.35,0.895,0.263,4.421,1.474,0.842,4.105,3.048,3,3.714,0.952,3.381,4.421,3.714,4.421,5.43,5.266,6.74,NA,NA,NA,2.09923593,1.797183359,1.552696059,1.554828517,-1.191541657,3.248998383,0.026932234,1.110278766,0.43705664
BEE,0.78,0.03,0.75,2.6,0.53,6.9,NA,NA,6.96296,6.933,6.9,6.23,2.778,0,0.611,0.278,0,4.5,0.818,2,2.5,0.545,0.818,4.5,2.5,4.5,4.832,2.919,5.164,NA,NA,2.046525869,2.39923593,2.074183359,1.432696059,0.662223393,-1.373346992,-0.347692029,-0.998265515,1.554220884,1.040315028
BEECH,0.82,0.19,0.63,1.78,-0.01,3.4,NA,4.3,NA,NA,3.4,4.35,0.5,0.167,1.167,0,0.75,3.167,0.733,1.667,2.333,0.933,0.333,3.167,2.333,3.167,3.236,2.648,3.744,NA,0.291193786,NA,-1.10076407,NA,-0.447303941,-1.481209438,-1.103296964,-0.571318383,-0.138856317,0.430476183,-0.549292458
BEEF,0.76,0.19,0.57,1.6,0.08,6.5,NA,6.25,NA,6.531,6.5,6.25,0.444,4.667,1.778,0.667,3.667,4.222,0,1.35,1.6,3.55,0.75,4.667,3.55,4.667,6.146,3.726,6.572,NA,2.241193786,NA,1.99923593,1.672183359,1.452696059,0.72457789,-0.973724902,-0.986850276,5.238713785,0.683850077,-0.508063714
BEEN,0.62,0.08,0.53,1.68,0.54,1.9,NA,NA,NA,NA,1.9,2.22,0.794,0.088,0.294,1.088,0.147,1.265,0.526,0.526,1.526,0.684,0.579,1.265,1.526,1.526,1.566,1.634,2.017,NA,NA,NA,-2.60076407,NA,-2.577303941,2.489728469,-0.86529075,-1.348737758,-0.862012356,-2.293350134,-1.86964905
